name,corr spearman,pval spearman,t_stat,t_pval,u_stat,u_pval,chi2_flat_stat,chi2_flat_pval,chi2_2d_stat,chi2_2d_pval,chi2_3d_stat,chi2_3d_pval,MSE,RMSE,MSE raw,RMSE raw,ks_stat1,ks_pval1,ks_stat2,ks_pval2,ks_test_eq,ks_pval_eq,levene_stat,levene_pval,corr_pearson,pval_pearson,ttind_stat,ttind_pval,ttrel_stat,ttrel_pval
random_cube,0.0009199636076379468,0.010306796867230869,877965953663.0,0.0,58730015298513.0,0.0,None,None,None,None,None,None,0.024872671323550224,0.1577107203824465,0.024872671323550224,0.1577107203824465,0.5010554054137086,0.0,0.5,0.0,0.8890987654320988,0.0,3829075.2846348993,0.0,0.0002095149808800097,0.5590571747154325,3369.8572184485,0.0,3370.207842458001,0.0
mati-sim 100k_original_params_cube,0.5458744058100312,0.0,852292165652.0,0.0,19267755295431.0,0.0,None,None,None,None,None,None,0.002188281383965439,0.04677906993480566,0.002188281383965439,0.04677906993480566,0.5,0.0,0.5,0.0,0.40112898662551444,0.0,38849.97673042704,0.0,0.7406754168779874,0.0,-197.10435415569816,0.0,-324.75622945109285,0.0
mati-sim 10k_original_params_cube,0.2920470385322468,0.0,467381982464.0,0.0,16170633200069.5,0.0,None,None,None,None,None,None,0.0035784646076064356,0.05982026920372756,0.0035784646076064356,0.05982026920372756,0.5,0.0,0.5,0.0,0.47983153292181074,0.0,64006.421708749695,0.0,0.4620079851542438,0.0,-252.99513323990175,0.0,-322.19760696319116,0.0
mati-sim 10mln_original_params_cube,0.882207372399645,0.0,566018624544.0,0.0,26523496378508.0,0.0,None,None,None,None,None,None,0.0018478568268222898,0.04298670523338919,0.0018478568268222898,0.04298670523338919,0.5,0.0,0.5,0.0,0.14699639917695478,0.0,35811.63310624827,0.0,0.8086905257270228,0.0,-189.24001605150647,0.0,-339.3196237972083,0.0
mati-sim 1mln_original_params_cube,0.7474560850714116,0.0,822885771101.0,0.0,23152430663665.0,0.0,None,None,None,None,None,None,0.0018774698013254033,0.04332977961316447,0.0018774698013254033,0.04332977961316447,0.5,0.0,0.5,0.0,0.281420524691358,0.0,36112.04621227047,0.0,0.8026352917899047,0.0,-190.03209450173784,0.0,-337.9751431697536,0.0
mc456_mc_100k_original_params_cube,0.631138730764568,0.0,2056285077630.0,0.0,20882888119207.0,0.0,None,None,None,None,None,None,0.001257105886919544,0.0354556890628224,0.001257105886919544,0.0354556890628224,0.5,0.0,0.5,0.0,0.36190869341563786,0.0,17.444605272982702,2.9580416410989994e-05,0.8592504835049853,0.0,-4.177396523829822,2.9486633850496157e-05,-11.134769036065745,8.50076433641563e-29
mc456_mc_100mln_original_params_cube,0.990058927022771,0.0,875900350.5,0.511897526875486,30232948917718.5,0.9866729019633945,9.877361770086258,1.0,None,None,None,None,8.612840656760464e-05,0.00928053913130076,8.612840656760464e-05,0.00928053913130076,0.5,0.0,0.5,0.0,4.269547325108647e-05,1.0,0.019692428934877885,0.8883994888650425,0.9903397668363364,0.0,-0.14032874615397528,0.8884002547065382,-1.42775037154788,0.15336376218109393
mc456_mc_10k_original_params_cube,0.3901294938739862,0.0,941408622148.0,0.0,17172382965962.0,0.0,None,None,None,None,None,None,0.0035991582974855786,0.05999298540234165,0.0035991582974855786,0.05999298540234165,0.5,0.0,0.5,0.0,0.45686535493827163,0.0,1913.267280666918,0.0,0.6001295480669013,0.0,-43.741562687606276,0.0,-69.1708656419931,0.0
mc456_mc_10mln_original_params_cube,0.9235644079681445,0.0,3709420319510.0,0.0,28145290352035.0,0.0,1145.9001488817848,0.0008090319613558246,None,None,None,None,0.00020123948875522613,0.014185890481574504,0.00020123948875522613,0.014185890481574504,0.5,0.0,0.5,0.0,0.10997788065843622,0.0,0.01183877467791657,0.9133562601678034,0.9774312184626589,0.0,-0.10953685925621727,0.9127766895964144,-0.7291299491752565,0.46592219818135616
mc456_mc_1mln_original_params_cube,0.811559431763424,0.0,3028812266651.0,0.0,24953427669269.0,0.0,1684.3974663037664,8.054918836453441e-38,None,None,None,None,0.0004444319313193715,0.0210815542908812,0.0004444319313193715,0.0210815542908812,0.5,0.0,0.5,0.0,0.23617888374485602,0.0,0.37512500588113473,0.5402238771348569,0.9501453524691499,0.0,-0.6132062858976405,0.5397399579329181,-2.7463343934083806,0.006026544168232415
