name,corr spearman,pval spearman,t_stat,t_pval,u_stat,u_pval,chi2_flat_stat,chi2_flat_pval,chi2_2d_stat,chi2_2d_pval,chi2_3d_stat,chi2_3d_pval,MSE,RMSE,MSE raw,RMSE raw,ks_stat1,ks_pval1,ks_stat2,ks_pval2,ks_test_eq,ks_pval_eq,levene_stat,levene_pval,corr_pearson,pval_pearson,ttind_stat,ttind_pval,ttrel_stat,ttrel_pval
random_cube,-0.00012089458695585192,0.7360262099087282,11901729805425.0,0.0,27907208474814.0,0.0,None,None,None,None,None,None,0.09486759365659317,0.308005833802857,0.09486759365659317,0.308005833802857,0.5010643729191155,0.0,0.5049296659071015,0.0,0.24702507716049382,0.0,1072426.362072339,0.0,0.00014829719462271552,0.6792155765766207,-825.0022933705052,0.0,-825.032408226923,0.0
mc456_mc_100k_my_params_cube,0.4628674746932514,0.0,11694910426438.0,0.0,18564858324004.0,0.0,None,None,None,None,None,None,0.11431860614917351,0.3381103461137702,0.11431860614917351,0.3381103461137702,0.5,0.0,0.5049296659071015,0.0,0.580744212962963,0.0,95828.78645802001,0.0,0.5660532747832531,0.0,-40.81299075031365,0.0,-59.759655878250584,0.0
mc456_mc_100mln_my_params_cube,0.9481104683713588,0.0,14906629909004.0,1.476186731459058e-246,30397726217543.0,3.320199858261018e-77,None,None,None,None,None,None,0.007417534474118915,0.08612510942877759,0.007417534474118915,0.08612510942877759,0.5065899646777995,0.0,0.5049296659071015,0.0,0.018957561728395064,0.0,68.27802016818255,1.4200588616766214e-16,0.9543310897015067,0.0,0.38470078555640375,0.7004591183820181,1.7999826337062137,0.07186341915632846
mc456_mc_10k_my_params_cube,0.13964675332122584,0.0,3021002286172.0,0.0,3306281245063.0,0.0,None,None,None,None,None,None,0.6742534301243761,0.8211293626003007,0.6742534301243761,0.8211293626003007,0.5,0.0,0.5049296659071015,0.0,0.942281507201646,0.0,1148.1982460652887,1.1289961854076765e-251,0.1888890049026474,0.0,-158.91170443587177,0.0,-169.10043607696664,0.0
mc456_mc_10mln_my_params_cube,0.9800110891672633,0.0,6017706551.0,0.10201834729484434,30235250247170.0,0.8070319791658345,19.179652636654048,1.0,None,None,None,None,0.0032491423847630088,0.05700124897546552,0.0032491423847630088,0.05700124897546552,0.5049296659071015,0.0,0.5049296659071015,0.0,9.400720164609577e-05,0.9999999999999964,0.0016374325441247865,0.9677222565561485,0.9800827210122419,0.0,0.0916217496579883,0.9269985715835813,0.6492074392681197,0.5162043230441038
mc456_mc_1mln_my_params_cube,0.8630113914544367,0.0,14048556238575.0,0.0,28539207418061.0,0.0,None,None,None,None,None,None,0.019860639571032245,0.14092778140250503,0.019860639571032245,0.14092778140250503,0.5,0.0,0.5049296659071015,0.0,0.10121630658436213,0.0,5918.022691105784,0.0,0.8844583146094401,0.0,-17.624283595117216,1.6063800685748327e-69,-51.66227211404284,0.0
mc456_p_100k_my_params_tiss_id_4_g_0_9_ls_down_cube,0.4628666948431345,0.0,11694373178723.0,0.0,18563843461260.0,0.0,None,None,None,None,None,None,0.11438888106549142,0.33821425319683296,0.11438888106549142,0.33821425319683296,0.5,0.0,0.5049296659071015,0.0,0.5807587448559671,0.0,95877.4132299854,0.0,0.5658034803628395,0.0,-40.69369259124329,0.0,-59.56734609245225,0.0
mc456_p_10k_my_params_tiss_id_4_g_0_9_ls_down_cube,0.13953860883521524,0.0,3020417223227.0,0.0,3305672375248.0,0.0,None,None,None,None,None,None,0.6741651615697625,0.8210756125776496,0.6741651615697625,0.8210756125776496,0.5,0.0,0.5049296659071015,0.0,0.9422917952674897,0.0,1135.4396819466956,6.689568028364839e-249,0.18866515517836588,0.0,-159.09539542537732,0.0,-169.28505631400066,0.0
mc456_p_10mln_my_params_tiss_id_4_g_0_9_ls_down_cube,0.9799174020121533,0.0,11364472181.0,0.6801966415172428,30233861555998.0,0.9303661156973939,27.03048750730187,1.0,None,None,None,None,0.0032726992109004113,0.05720751009177389,0.0032726992109004113,0.05720751009177389,0.5049297000245475,0.0,0.5049296659071015,0.0,5.4269547325125345e-05,1.0,0.01472364170808405,0.9034209362791951,0.9799423471641295,0.0,0.13136383408767474,0.8954874986106554,0.9275463509268308,0.35364296659659655
mc456_p_1mln_my_params_tiss_id_4_g_0_9_ls_down_cube,0.8631017043796653,0.0,14047410857941.0,0.0,28538624904556.0,0.0,None,None,None,None,None,None,0.01983164744564858,0.1408248821964662,0.01983164744564858,0.1408248821964662,0.5,0.0,0.5049296659071015,0.0,0.10122337962962963,0.0,5931.395405845522,0.0,0.8846163644158652,0.0,-17.58044342412501,3.4838332907053327e-69,-51.567016593751504,0.0
