Name,Sum,Avg,ks_normal,ks_normal pval,ks_normal log,ks_normal log pval,ks_normal tan,ks_normal tan pval,ks yeo-johnson,ks yeo-johnson pval,ks quantile,ks quantile pval,skew,kurtosis,q0,q0_25,q0_50,q0_75,q1,std,variance,Overflow,perc_in,n_photons,non_zero_vals,zero_vals
random_cube,1032875.0747160785,0.13282858471142983,0.05726282871337923,0.0,0.14049352086531974,0.0,0.06208894958633304,0.0,0.3900878670228164,0.0,0.11279551315352587,0.0,0.0005816763451493452,-1.199934440254206,2.202933384488511e-08,0.06642875998984732,0.13280589656964542,0.19925214982318443,0.26571957488981485,0.07669443896564215,0.005882036968254609,0.0,100.0,100000000,7776000,0
mati-sim 100k_original_params_cube,534890.8222840998,0.06878739998509513,0.49582112480147306,0.0,0.5093404860543347,0.0,0.5267016408419836,0.0,0.5070102189109358,0.0,0.5264241656829081,0.0,1401.1826125044245,2422875.089073731,0.0,0.0,0.0,0.0,13010.254896975785,6.566767146154364,43.12243075181233,497984.25243210874,51.786594078772374,100000,941168,6834832
mati-sim 10k_original_params_cube,531707.7049986218,0.06837804848233306,0.4958401930806705,0.0,0.5332673778068481,0.0,0.5403446985905154,0.0,0.5393844503023664,0.0,0.5402583616139521,0.0,1384.4827643848766,2361368.3022640636,0.0,0.0,0.0,0.0,12840.198511919314,6.557612119369114,43.00227670809669,501167.3697174783,51.47841379992338,10000,335497,7440503
mati-sim 10mln_original_params_cube,535963.2629517143,0.06892531673761758,0.4958096993873958,0.0,0.36864823980273564,0.0,0.41020445395032534,0.0,0.38954487700982676,0.0,0.40883985774417675,0.0,1403.4034943959066,2431547.9064207096,0.0,0.0,0.0,0.0001652171462194364,13018.203645404976,6.561991601005322,43.05973377166438,496911.81174073776,51.890424707102376,10000000,2897319,4878681
mati-sim 1mln_original_params_cube,536211.492401504,0.06895723924916461,0.4958100760674162,0.0,0.4464572856230197,0.0,0.47679041004847045,0.0,0.4040890560588009,0.0,0.47608835058325816,0.0,1403.1367374695578,2430270.2862900356,0.0,0.0,0.0,0.0,13022.570904729318,6.565620990869683,43.107378995748604,496663.5823155503,51.91445756868455,1000000,1862453,5913547
mc456_mc_100k_original_params_cube,735562.2423659354,0.09459390976928181,0.49270392362657733,0.0,0.4904587158697381,0.0,0.5122387767281767,0.0,0.4891095285451282,0.0,0.5117782923297592,0.0,794.2870706676008,952357.1780716936,0.0,0.0,0.0,0.0,8097.1280638752505,5.172013604382175,26.749724723914298,297440.4577436864,71.20622649755687,100000,1243054,6532946
mc456_mc_100mln_original_params_cube,734320.4502023679,0.09443421427499586,0.49271267958472253,0.0,0.28490977995957684,0.0,0.3482071899886797,0.0,0.3718597887911152,0.0,0.33193395972996825,0.0,794.9010185028683,953818.4264596492,0.0,0.0,1.797324138266343e-06,0.000370644367827227,8097.23861610796,5.169486645367659,26.723592176634575,298558.5651111393,71.09452697898809,100000000,4029088,3746912
mc456_mc_10k_original_params_cube,738511.0218814281,0.0949731252419532,0.492691664284329,0.0,0.5296400781665136,0.0,0.5401720604280673,0.0,0.5388359057993366,0.0,0.5399388075429442,0.0,791.2939253056277,950772.1535659896,0.0,0.0,0.0,0.0,8119.961738811176,5.184036049074908,26.87422975810818,293983.62974015606,71.52686173449517,10000,511971,7264029
mc456_mc_10mln_original_params_cube,734287.7243603591,0.09443000570477869,0.492713742689709,0.0,0.34870474406680846,0.0,0.3911716361749939,0.0,0.3715931312861052,0.0,0.38949374467023673,0.0,795.0595249802575,954246.7968896237,0.0,0.0,0.0,0.0003711552878464763,8099.44486313147,5.170010567997607,26.729009273206938,298573.5718910675,71.0925781637202,10000000,3182594,4593406
mc456_mc_1mln_original_params_cube,734240.6992199125,0.09442395823301344,0.4927141937728376,0.0,0.42127538119493285,0.0,0.45494868012832834,0.0,0.3821475745596433,0.0,0.4539797964307079,0.0,795.981174971997,956705.8376383077,0.0,0.0,0.0,0.00025544316913459896,8106.193743330054,5.169999574819065,26.728895603629315,298638.897135084,71.08676575769601,1000000,2211280,5564720
