Name,Sum,Avg,ks_normal,ks_normal pval,ks_normal log,ks_normal log pval,ks_normal tan,ks_normal tan pval,ks yeo-johnson,ks yeo-johnson pval,ks quantile,ks quantile pval,skew,kurtosis,q0,q0_25,q0_50,q0_75,q1,std,variance,Overflow,perc_in,n_photons,non_zero_vals,zero_vals
random_cube,1032875.0747160786,0.13282858471142986,0.057387629665615614,0.0,0.14054616664702269,0.0,0.06208905388247571,0.0,0.39018628574959613,0.0,0.11286084600020285,0.0,0.0005495682726452052,-1.2004408354331477,8.759651086509983e-08,0.06638302174634858,0.13278461368267125,0.19928945141286583,0.26568754571171205,0.07670663051981376,0.0058839071657032236,0.0,100.0,100000000,7776000,0
mc456_mc_100k_my_params_cube,2378002.3086311957,0.30581305409351794,0.48791733840456664,0.0,0.3564836151603364,0.0,0.37783336270296314,0.0,0.3450575980482127,0.0,0.37429813625388264,0.0,860.4730884385584,914414.4968090699,0.0,0.0,0.0,0.3203134509695829,13501.316347209478,10.095714533655567,101.92345194506423,2291941.9610414337,50.92142799378412,100000,3382450,4393550
mc456_mc_100mln_my_params_cube,2378763.5738658165,0.30591095342924596,0.4882564914467279,0.0,0.04229292567778553,0.0,0.19052560746692226,0.0,0.07858449559714414,0.0,0.17942024079125707,0.0,860.1329305549405,911353.5991318566,0.007790485805216467,0.05202963148209532,0.13240350061578096,0.26327028252291007,13419.067317899531,10.072045181361075,101.44609413537883,2291495.2982617994,50.934298054919815,100000000,7776000,0
mc456_mc_10k_my_params_cube,2382380.2427435555,0.3063760600236054,0.48789332443134376,0.0,0.534904651840881,0.0,0.5400195950499727,0.0,0.5386097758789932,0.0,0.5392987587779955,0.0,835.1027402559034,873784.2519000819,0.0,0.0,0.0,0.0,13449.251073194602,10.094232700940179,101.89353382073007,2287842.4343289994,51.012133841911535,10000,520222,7255778
mc456_mc_10mln_my_params_cube,2378329.998099768,0.30585519522887966,0.4879765901138404,0.0,0.03567167106784461,0.0,0.1927311504840047,0.0,0.07759635399362791,0.0,0.177235504052067,0.0,860.0941949030041,911340.2763206725,0.00046142257841566775,0.05158779477771551,0.1310219048161943,0.2647753803667607,13419.309734232062,10.070492744125096,101.4148241094762,2291877.2777909255,50.92557690913574,10000000,7776000,0
mc456_mc_1mln_my_params_cube,2377948.982555622,0.3058061963163094,0.4878834336511102,0.0,0.07726644226489554,0.0,0.540363619362372,0.0,0.07251222423486786,0.0,0.2909955479270917,0.0,860.7784780251625,913344.9658336265,0.0,0.04327242506016117,0.12045266325707121,0.27448597646912887,13427.987822537616,10.067230143167961,101.34912275550963,2292212.9505793513,50.917912839038515,1000000,7517085,258915
mc456_p_100k_my_params_tiss_id_4_g_0_9_ls_down_cube,2378002.4149506944,0.305813067766293,0.487917337692044,0.0,0.35648770636455496,0.0,0.3778372719185133,0.0,0.3450932923683391,0.0,0.3742773856658689,0.0,860.4731244804736,914414.5490151782,0.0,0.0,0.0,0.3203134509695829,13501.316347209478,10.095714389497612,101.92344903430916,2291941.8547219355,50.92143027046008,100000,3382454,4393546
mc456_p_10k_my_params_tiss_id_4_g_0_9_ls_down_cube,2382380.2427435564,0.3063760600236055,0.487893326139939,0.0,0.5349099863485336,0.0,0.5400221012797803,0.0,0.538608347227551,0.0,0.5392996685957225,0.0,835.1023874606676,873783.7584870829,0.0,0.0,0.0,0.0,13449.251073194602,10.094234125960403,101.89356258970358,2287842.4343289994,51.01213384191154,10000,520212,7255788
mc456_p_10mln_my_params_tiss_id_4_g_0_9_ls_down_cube,2378330.034604257,0.30585519992338694,0.48797646133295836,0.0,0.03568826427766045,0.0,0.19273788009107867,0.0,0.07761696743276492,0.0,0.17727365236615467,0.0,860.0941936732862,911340.274546584,0.00046142257841566775,0.051587509483094034,0.13102181481829128,0.2647750676914835,13419.309734232062,10.070492749023394,101.41482420813276,2291877.24128644,50.92557769078171,10000000,7776000,0
mc456_p_1mln_my_params_tiss_id_4_g_0_9_ls_down_cube,2377949.087310059,0.30580620978781625,0.4878834331046055,0.0,0.07725529539469272,0.0,0.540363088233226,0.0,0.07251329083178443,0.0,0.29101925976382403,0.0,860.7784806991881,913344.9697196183,0.0,0.0432723860785004,0.1204524008148826,0.274485363010741,13427.987822537616,10.067230132442681,101.34912253956189,2292212.845824917,50.91791508209641,1000000,7517091,258909
