time elapsed: 1.2259 seconds

=================================

sim results:

number of photons = 1000000.000000
bin size = 0.00833 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.00417 	 4.553e+03 	 5.954e+01 	 5.223e+00 
0.01250 	 5.153e+02 	 1.937e+01 	 3.831e+00 
0.02083 	 1.798e+02 	 1.122e+01 	 3.290e+00 
0.02917 	 9.062e+01 	 7.854e+00 	 2.995e+00 
0.03750 	 5.424e+01 	 6.006e+00 	 2.727e+00 
0.04583 	 3.647e+01 	 4.772e+00 	 2.577e+00 
0.05417 	 2.584e+01 	 3.984e+00 	 2.423e+00 
0.06250 	 1.906e+01 	 3.390e+00 	 2.256e+00 
0.07083 	 1.471e+01 	 2.925e+00 	 2.148e+00 
0.07917 	 1.189e+01 	 2.573e+00 	 2.042e+00 
0.08750 	 9.488e+00 	 2.268e+00 	 1.949e+00 
0.09583 	 7.861e+00 	 2.085e+00 	 1.882e+00 
0.10417 	 6.641e+00 	 1.854e+00 	 1.773e+00 
0.11250 	 5.701e+00 	 1.731e+00 	 1.725e+00 
0.12083 	 4.849e+00 	 1.555e+00 	 1.645e+00 
0.12917 	 4.180e+00 	 1.448e+00 	 1.599e+00 
0.13750 	 3.679e+00 	 1.333e+00 	 1.528e+00 
0.14583 	 3.282e+00 	 1.230e+00 	 1.512e+00 
0.15417 	 2.854e+00 	 1.148e+00 	 1.454e+00 
0.16250 	 2.580e+00 	 1.051e+00 	 1.394e+00 
0.17083 	 2.340e+00 	 1.025e+00 	 1.368e+00 
0.17917 	 2.056e+00 	 9.282e-01 	 1.316e+00 
0.18750 	 1.882e+00 	 8.765e-01 	 1.267e+00 
0.19583 	 1.691e+00 	 8.185e-01 	 1.259e+00 
0.20417 	 1.549e+00 	 7.880e-01 	 1.194e+00 
0.21250 	 1.412e+00 	 7.399e-01 	 1.185e+00 
0.22083 	 1.281e+00 	 7.100e-01 	 1.137e+00 
0.22917 	 1.217e+00 	 6.786e-01 	 1.104e+00 
0.23750 	 1.111e+00 	 6.402e-01 	 1.088e+00 
0.24583 	 1.031e+00 	 6.061e-01 	 1.065e+00 
0.25417 	 9.481e-01 	 5.886e-01 	 1.033e+00 
0.26250 	 8.983e-01 	 5.647e-01 	 1.023e+00 
0.27083 	 8.184e-01 	 5.476e-01 	 9.770e-01 
0.27917 	 7.645e-01 	 5.114e-01 	 9.491e-01 
0.28750 	 7.327e-01 	 4.893e-01 	 9.380e-01 
0.29583 	 6.657e-01 	 4.724e-01 	 9.100e-01 
0.30417 	 6.345e-01 	 4.425e-01 	 9.022e-01 
0.31250 	 5.950e-01 	 4.350e-01 	 8.671e-01 
0.32083 	 5.629e-01 	 4.242e-01 	 8.710e-01 
0.32917 	 5.247e-01 	 4.027e-01 	 8.210e-01 
0.33750 	 4.999e-01 	 3.841e-01 	 8.243e-01 
0.34583 	 4.665e-01 	 3.649e-01 	 8.036e-01 
