number of photons = 1000000.000000
bin size = 0.03000 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.01500 	 3.499e+02 	 1.597e+01 	 3.936e+00 
0.04500 	 3.768e+01 	 4.893e+00 	 2.598e+00 
0.07500 	 1.317e+01 	 2.736e+00 	 2.099e+00 
0.10500 	 6.517e+00 	 1.860e+00 	 1.785e+00 
0.13500 	 3.835e+00 	 1.363e+00 	 1.562e+00 
0.16500 	 2.492e+00 	 1.048e+00 	 1.392e+00 
0.19500 	 1.709e+00 	 8.303e-01 	 1.241e+00 
0.22500 	 1.251e+00 	 6.931e-01 	 1.130e+00 
0.25500 	 9.497e-01 	 5.839e-01 	 1.040e+00 
0.28500 	 7.314e-01 	 4.988e-01 	 9.367e-01 
0.31500 	 5.877e-01 	 4.283e-01 	 8.705e-01 
0.34500 	 4.720e-01 	 3.722e-01 	 8.082e-01 
0.37500 	 3.901e-01 	 3.259e-01 	 7.454e-01 
0.40500 	 3.256e-01 	 2.906e-01 	 6.920e-01 
0.43500 	 2.687e-01 	 2.581e-01 	 6.393e-01 
0.46500 	 2.307e-01 	 2.327e-01 	 6.049e-01 
0.49500 	 2.003e-01 	 2.100e-01 	 5.664e-01 
0.52500 	 1.704e-01 	 1.872e-01 	 5.262e-01 
0.55500 	 1.476e-01 	 1.721e-01 	 4.991e-01 
0.58500 	 1.308e-01 	 1.560e-01 	 4.725e-01 
0.61500 	 1.142e-01 	 1.407e-01 	 4.356e-01 
0.64500 	 1.003e-01 	 1.295e-01 	 4.105e-01 
0.67500 	 8.852e-02 	 1.179e-01 	 3.915e-01 
0.70500 	 7.892e-02 	 1.094e-01 	 3.731e-01 
0.73500 	 7.027e-02 	 1.000e-01 	 3.488e-01 
0.76500 	 6.258e-02 	 9.361e-02 	 3.311e-01 
0.79500 	 5.719e-02 	 8.515e-02 	 3.138e-01 
0.82500 	 5.093e-02 	 7.910e-02 	 2.959e-01 
0.85500 	 4.632e-02 	 7.370e-02 	 2.798e-01 
0.88500 	 4.185e-02 	 7.003e-02 	 2.685e-01 
0.91500 	 3.810e-02 	 6.385e-02 	 2.542e-01 
0.94500 	 3.456e-02 	 5.996e-02 	 2.412e-01 
0.97500 	 3.111e-02 	 5.545e-02 	 2.262e-01 
1.00500 	 2.879e-02 	 5.106e-02 	 2.207e-01 
1.03500 	 2.662e-02 	 4.874e-02 	 2.068e-01 
1.06500 	 2.423e-02 	 4.500e-02 	 1.944e-01 
1.09500 	 2.261e-02 	 4.202e-02 	 1.856e-01 
1.12500 	 2.041e-02 	 3.897e-02 	 1.790e-01 
1.15500 	 1.847e-02 	 3.716e-02 	 1.695e-01 
1.18500 	 1.743e-02 	 3.528e-02 	 1.644e-01 
1.21500 	 1.589e-02 	 3.328e-02 	 1.545e-01 
1.24500 	 1.517e-02 	 3.096e-02 	 1.477e-01 
1.27500 	 1.384e-02 	 2.938e-02 	 1.409e-01 
1.30500 	 1.256e-02 	 2.595e-02 	 1.338e-01 
1.33500 	 1.171e-02 	 2.572e-02 	 1.280e-01 
1.36500 	 1.087e-02 	 2.359e-02 	 1.249e-01 
1.39500 	 1.006e-02 	 2.235e-02 	 1.176e-01 
1.42500 	 9.250e-03 	 2.155e-02 	 1.123e-01 
1.45500 	 8.629e-03 	 2.071e-02 	 1.102e-01 
1.48500 	 8.231e-03 	 1.937e-02 	 1.020e-01 
1.51500 	 7.535e-03 	 1.851e-02 	 9.693e-02 
1.54500 	 7.095e-03 	 1.728e-02 	 9.737e-02 
1.57500 	 6.789e-03 	 1.628e-02 	 8.810e-02 
1.60500 	 6.225e-03 	 1.531e-02 	 8.833e-02 
1.63500 	 5.803e-03 	 1.467e-02 	 8.180e-02 
1.66500 	 5.454e-03 	 1.362e-02 	 7.583e-02 
1.69500 	 5.125e-03 	 1.325e-02 	 7.590e-02 
1.72500 	 4.709e-03 	 1.252e-02 	 6.980e-02 
1.75500 	 4.484e-03 	 1.180e-02 	 7.033e-02 
1.78500 	 4.152e-03 	 1.123e-02 	 6.280e-02 
1.81500 	 3.986e-03 	 1.064e-02 	 6.263e-02 
1.84500 	 3.805e-03 	 1.027e-02 	 6.127e-02 
1.87500 	 3.525e-03 	 9.479e-03 	 5.837e-02 
1.90500 	 3.299e-03 	 9.371e-03 	 5.703e-02 
1.93500 	 3.113e-03 	 8.710e-03 	 5.260e-02 
1.96500 	 2.937e-03 	 8.275e-03 	 5.150e-02 
1.99500 	 2.702e-03 	 7.980e-03 	 4.937e-02 
2.02500 	 2.582e-03 	 7.202e-03 	 4.607e-02 
2.05500 	 2.438e-03 	 7.081e-03 	 4.517e-02 
2.08500 	 2.266e-03 	 6.664e-03 	 4.290e-02 
2.11500 	 2.191e-03 	 6.459e-03 	 3.970e-02 
2.14500 	 1.945e-03 	 5.988e-03 	 4.083e-02 
2.17500 	 1.892e-03 	 5.727e-03 	 3.913e-02 
2.20500 	 1.813e-03 	 5.341e-03 	 3.680e-02 
2.23500 	 1.684e-03 	 5.208e-03 	 3.607e-02 
2.26500 	 1.583e-03 	 5.022e-03 	 3.450e-02 
2.29500 	 1.549e-03 	 4.797e-03 	 3.303e-02 
2.32500 	 1.466e-03 	 4.465e-03 	 3.043e-02 
2.35500 	 1.387e-03 	 4.359e-03 	 3.067e-02 
2.38500 	 1.261e-03 	 4.017e-03 	 2.977e-02 
2.41500 	 1.236e-03 	 3.906e-03 	 2.767e-02 
2.44500 	 1.143e-03 	 3.624e-03 	 2.733e-02 
2.47500 	 1.064e-03 	 3.537e-03 	 2.583e-02 
2.50500 	 9.968e-04 	 3.431e-03 	 2.427e-02 
2.53500 	 9.721e-04 	 3.250e-03 	 2.363e-02 
2.56500 	 9.027e-04 	 3.233e-03 	 2.080e-02 
2.59500 	 8.441e-04 	 2.895e-03 	 2.077e-02 
2.62500 	 8.596e-04 	 2.908e-03 	 2.147e-02 
2.65500 	 7.808e-04 	 2.799e-03 	 2.080e-02 
2.68500 	 7.528e-04 	 2.565e-03 	 2.110e-02 
2.71500 	 7.219e-04 	 2.538e-03 	 1.940e-02 
2.74500 	 6.646e-04 	 2.308e-03 	 1.890e-02 
2.77500 	 6.462e-04 	 2.214e-03 	 1.703e-02 
2.80500 	 6.011e-04 	 2.152e-03 	 1.663e-02 
2.83500 	 5.875e-04 	 2.042e-03 	 1.627e-02 
2.86500 	 5.413e-04 	 1.931e-03 	 1.567e-02 
2.89500 	 5.210e-04 	 1.838e-03 	 1.523e-02 
2.92500 	 4.914e-04 	 1.881e-03 	 1.530e-02 
2.95500 	 4.596e-04 	 1.679e-03 	 1.413e-02 
2.98500 	 4.457e-04 	 1.662e-03 	 1.300e-02 
3.01500 	 1.454e-02 	 4.944e-02 	 3.471e-01 
