time elapsed: 11.4527 seconds

=================================

sim results:

number of photons = 1000
overflow: 1.46000000000000000000e+02
sum: 8.54000000000000000000e+02
sum: 8.54000000000000000000e+02
avg: 8.53999999999999981348e-01
perc_in: 85.40

number of photons = 1000
bin size = 0.00833 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.00417 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 1.20000000000000009437e-01 
0.01250 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 7.19999999999999973355e-01 
0.02083 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 1.20000000000000009437e-01 
0.02917 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 
0.03750 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 5.99999999999999977796e-01 
0.04583 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 
0.05417 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.40000000000000018874e-01 
0.06250 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 1.20000000000000009437e-01 
0.07083 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.40000000000000018874e-01 
0.07917 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.40000000000000018874e-01 
0.08750 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 3.59999999999999986677e-01 
0.09583 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.40000000000000018874e-01 
0.10417 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 3.59999999999999986677e-01 
0.11250 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 3.59999999999999986677e-01 
0.12083 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 
0.12917 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 1.20000000000000009437e-01 
0.13750 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.40000000000000018874e-01 
0.14583 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 1.20000000000000009437e-01 
0.15417 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 3.59999999999999986677e-01 
0.16250 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.40000000000000018874e-01 
0.17083 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.40000000000000018874e-01 
0.17917 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.40000000000000018874e-01 
