time elapsed: 21.5266 seconds

=================================

sim results:

number of photons = 100000
overflow: 2.87973313544668562827e+04
sum: 7.12150249697873223340e+04
sum: 7.12026686455331509933e+04
avg: 7.12150249697873216626e-01
perc_in: 71.22

number of photons = 100000
bin size = 0.00833 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.00417 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 
0.01250 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 
0.02083 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 
0.02917 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 
0.03750 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 
0.04583 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 
0.05417 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 
0.06250 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 
0.07083 	 0.00000000000000000000e+00 	 2.81990793357218957207e-06 	 0.00000000000000000000e+00 
0.07917 	 0.00000000000000000000e+00 	 4.11888316122800165450e-06 	 0.00000000000000000000e+00 
0.08750 	 0.00000000000000000000e+00 	 2.91374547025176331875e-06 	 0.00000000000000000000e+00 
0.09583 	 0.00000000000000000000e+00 	 2.50726744158090118978e-06 	 0.00000000000000000000e+00 
0.10417 	 0.00000000000000000000e+00 	 6.85290243513262980113e-06 	 0.00000000000000000000e+00 
0.11250 	 0.00000000000000000000e+00 	 6.31430471579667863780e-06 	 0.00000000000000000000e+00 
0.12083 	 0.00000000000000000000e+00 	 6.91408786902086871487e-06 	 0.00000000000000000000e+00 
0.12917 	 0.00000000000000000000e+00 	 7.13950064081952109695e-06 	 0.00000000000000000000e+00 
0.13750 	 0.00000000000000000000e+00 	 1.05660596575779060409e-05 	 0.00000000000000000000e+00 
0.14583 	 0.00000000000000000000e+00 	 1.33188990046636527074e-05 	 0.00000000000000000000e+00 
0.15417 	 0.00000000000000000000e+00 	 1.55913042332041100783e-05 	 0.00000000000000000000e+00 
0.16250 	 0.00000000000000000000e+00 	 1.98783541376094233569e-05 	 0.00000000000000000000e+00 
0.17083 	 0.00000000000000000000e+00 	 1.26921249476607280154e-05 	 0.00000000000000000000e+00 
0.17917 	 0.00000000000000000000e+00 	 1.30235685269105897329e-05 	 0.00000000000000000000e+00 
0.18750 	 0.00000000000000000000e+00 	 1.80179959655306938646e-05 	 0.00000000000000000000e+00 
0.19583 	 0.00000000000000000000e+00 	 2.27800905359302597426e-05 	 0.00000000000000000000e+00 
0.20417 	 0.00000000000000000000e+00 	 1.82946728793376043817e-05 	 0.00000000000000000000e+00 
0.21250 	 0.00000000000000000000e+00 	 3.12151383243939567588e-05 	 0.00000000000000000000e+00 
0.22083 	 0.00000000000000000000e+00 	 2.83246188107877390320e-05 	 0.00000000000000000000e+00 
0.22917 	 0.00000000000000000000e+00 	 2.93272996012803849710e-05 	 0.00000000000000000000e+00 
0.23750 	 0.00000000000000000000e+00 	 3.71229237007480460694e-05 	 0.00000000000000000000e+00 
0.24583 	 0.00000000000000000000e+00 	 3.67761743350127157733e-05 	 0.00000000000000000000e+00 
0.25417 	 0.00000000000000000000e+00 	 3.24958231583657227316e-05 	 0.00000000000000000000e+00 
0.26250 	 0.00000000000000000000e+00 	 2.89236220693051629415e-05 	 0.00000000000000000000e+00 
0.27083 	 0.00000000000000000000e+00 	 4.21484072992534439489e-05 	 0.00000000000000000000e+00 
0.27917 	 0.00000000000000000000e+00 	 4.14423474072969817705e-05 	 0.00000000000000000000e+00 
0.28750 	 0.00000000000000000000e+00 	 4.69776752948801286044e-05 	 0.00000000000000000000e+00 
0.29583 	 0.00000000000000000000e+00 	 6.56779114518327513956e-05 	 0.00000000000000000000e+00 
0.30417 	 0.00000000000000000000e+00 	 7.82696991462227600065e-05 	 0.00000000000000000000e+00 
0.31250 	 0.00000000000000000000e+00 	 7.88712947834868297698e-05 	 0.00000000000000000000e+00 
0.32083 	 0.00000000000000000000e+00 	 9.29178068788619074356e-05 	 0.00000000000000000000e+00 
0.32917 	 0.00000000000000000000e+00 	 1.16342845303523512819e-04 	 0.00000000000000000000e+00 
0.33750 	 0.00000000000000000000e+00 	 1.10966212023708141513e-04 	 0.00000000000000000000e+00 
0.34583 	 0.00000000000000000000e+00 	 1.02054317292591813595e-04 	 0.00000000000000000000e+00 
0.35417 	 0.00000000000000000000e+00 	 1.17659161276747442734e-04 	 0.00000000000000000000e+00 
0.36250 	 0.00000000000000000000e+00 	 1.40026913416317237227e-04 	 0.00000000000000000000e+00 
0.37083 	 0.00000000000000000000e+00 	 1.54946779025239814338e-04 	 0.00000000000000000000e+00 
0.37917 	 0.00000000000000000000e+00 	 1.71351008635828956292e-04 	 0.00000000000000000000e+00 
0.38750 	 0.00000000000000000000e+00 	 1.92135830970355150470e-04 	 0.00000000000000000000e+00 
0.39583 	 0.00000000000000000000e+00 	 2.17535344055360031507e-04 	 0.00000000000000000000e+00 
0.40417 	 0.00000000000000000000e+00 	 2.30675476652433732866e-04 	 0.00000000000000000000e+00 
0.41250 	 0.00000000000000000000e+00 	 2.66609064602137883597e-04 	 0.00000000000000000000e+00 
0.42083 	 0.00000000000000000000e+00 	 3.07308721310649778872e-04 	 0.00000000000000000000e+00 
0.42917 	 0.00000000000000000000e+00 	 3.33798570211844597595e-04 	 0.00000000000000000000e+00 
0.43750 	 0.00000000000000000000e+00 	 3.63793214983331705727e-04 	 0.00000000000000000000e+00 
0.44583 	 0.00000000000000000000e+00 	 3.99110670310878247469e-04 	 0.00000000000000000000e+00 
0.45417 	 0.00000000000000000000e+00 	 4.44776960609785752127e-04 	 0.00000000000000000000e+00 
0.46250 	 0.00000000000000000000e+00 	 4.74177937400372599523e-04 	 0.00000000000000000000e+00 
0.47083 	 0.00000000000000000000e+00 	 5.59064605508658688145e-04 	 0.00000000000000000000e+00 
0.47917 	 0.00000000000000000000e+00 	 5.90007995694704669154e-04 	 0.00000000000000000000e+00 
0.48750 	 0.00000000000000000000e+00 	 6.47372677763161249141e-04 	 0.00000000000000000000e+00 
0.49583 	 0.00000000000000000000e+00 	 7.31319083037897002368e-04 	 0.00000000000000000000e+00 
0.50417 	 0.00000000000000000000e+00 	 7.58639213194532095047e-04 	 0.00000000000000000000e+00 
0.51250 	 0.00000000000000000000e+00 	 8.33154829629646027575e-04 	 0.00000000000000000000e+00 
0.52083 	 0.00000000000000000000e+00 	 9.20343827285215383173e-04 	 0.00000000000000000000e+00 
0.52917 	 0.00000000000000000000e+00 	 1.01867816233133529763e-03 	 0.00000000000000000000e+00 
0.53750 	 0.00000000000000000000e+00 	 1.11160221177594806946e-03 	 0.00000000000000000000e+00 
0.54583 	 0.00000000000000000000e+00 	 1.25960507508527936975e-03 	 0.00000000000000000000e+00 
0.55417 	 0.00000000000000000000e+00 	 1.39476370609185494273e-03 	 0.00000000000000000000e+00 
0.56250 	 0.00000000000000000000e+00 	 1.54385508314104093718e-03 	 0.00000000000000000000e+00 
0.57083 	 0.00000000000000000000e+00 	 1.71725238147398592131e-03 	 0.00000000000000000000e+00 
0.57917 	 0.00000000000000000000e+00 	 1.88670866703303749014e-03 	 0.00000000000000000000e+00 
0.58750 	 0.00000000000000000000e+00 	 2.12803087675240889393e-03 	 0.00000000000000000000e+00 
0.59583 	 0.00000000000000000000e+00 	 2.27745920995787824725e-03 	 0.00000000000000000000e+00 
0.60417 	 0.00000000000000000000e+00 	 2.53899660885409123728e-03 	 1.76284029970485237974e-07 
0.61250 	 0.00000000000000000000e+00 	 2.81545178867835185765e-03 	 9.34692606581989976188e-07 
