time elapsed: 1073.3080 seconds

=================================

sim results:

number of photons = 10000000
overflow: 2.89070362137590255588e+06
sum: 7.10916297948357556015e+06
sum: 7.10929637862409744412e+06
avg: 7.10916297948357533976e-01
perc_in: 71.09

number of photons = 10000000
bin size = 0.00833 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.00417 	 0.00000000000000000000e+00 	 9.34902488233720130372e-06 	 0.00000000000000000000e+00 
0.01250 	 0.00000000000000000000e+00 	 8.05168450205627795886e-06 	 0.00000000000000000000e+00 
0.02083 	 0.00000000000000000000e+00 	 7.31474833658215688642e-06 	 0.00000000000000000000e+00 
0.02917 	 0.00000000000000000000e+00 	 7.00645117097161398880e-06 	 0.00000000000000000000e+00 
0.03750 	 0.00000000000000000000e+00 	 7.81577050840159943902e-06 	 0.00000000000000000000e+00 
0.04583 	 0.00000000000000000000e+00 	 8.81883143466509329092e-06 	 0.00000000000000000000e+00 
0.05417 	 0.00000000000000000000e+00 	 8.13794384906750489729e-06 	 0.00000000000000000000e+00 
0.06250 	 0.00000000000000000000e+00 	 8.74254356839387223785e-06 	 0.00000000000000000000e+00 
0.07083 	 0.00000000000000000000e+00 	 9.71549828656242173803e-06 	 0.00000000000000000000e+00 
0.07917 	 0.00000000000000000000e+00 	 9.50991143026412473211e-06 	 0.00000000000000000000e+00 
0.08750 	 0.00000000000000000000e+00 	 9.23191538882220216658e-06 	 0.00000000000000000000e+00 
0.09583 	 0.00000000000000000000e+00 	 9.94883041426472991987e-06 	 0.00000000000000000000e+00 
0.10417 	 0.00000000000000000000e+00 	 1.08974996571073158786e-05 	 0.00000000000000000000e+00 
0.11250 	 0.00000000000000000000e+00 	 1.13278823024143074914e-05 	 0.00000000000000000000e+00 
0.12083 	 0.00000000000000000000e+00 	 1.17414232148067392410e-05 	 0.00000000000000000000e+00 
0.12917 	 0.00000000000000000000e+00 	 1.33836051908696119286e-05 	 0.00000000000000000000e+00 
0.13750 	 0.00000000000000000000e+00 	 1.45635247601055771677e-05 	 0.00000000000000000000e+00 
0.14583 	 0.00000000000000000000e+00 	 1.57190798677158376099e-05 	 0.00000000000000000000e+00 
0.15417 	 0.00000000000000000000e+00 	 1.65219102326518926544e-05 	 0.00000000000000000000e+00 
0.16250 	 0.00000000000000000000e+00 	 1.79269809936336912157e-05 	 0.00000000000000000000e+00 
0.17083 	 0.00000000000000000000e+00 	 1.92618177561510509597e-05 	 0.00000000000000000000e+00 
0.17917 	 0.00000000000000000000e+00 	 2.03539421339647725467e-05 	 0.00000000000000000000e+00 
0.18750 	 0.00000000000000000000e+00 	 2.33530478788415519012e-05 	 0.00000000000000000000e+00 
0.19583 	 0.00000000000000000000e+00 	 2.58166458000819813430e-05 	 0.00000000000000000000e+00 
0.20417 	 0.00000000000000000000e+00 	 2.80064340454306355717e-05 	 0.00000000000000000000e+00 
0.21250 	 0.00000000000000000000e+00 	 3.09175851049874189105e-05 	 0.00000000000000000000e+00 
0.22083 	 0.00000000000000000000e+00 	 3.37176242935169565300e-05 	 0.00000000000000000000e+00 
0.22917 	 0.00000000000000000000e+00 	 3.67787327064823460552e-05 	 0.00000000000000000000e+00 
0.23750 	 0.00000000000000000000e+00 	 4.04927698691310490489e-05 	 0.00000000000000000000e+00 
0.24583 	 0.00000000000000000000e+00 	 4.36154337490061489889e-05 	 0.00000000000000000000e+00 
0.25417 	 0.00000000000000000000e+00 	 4.71646528747892221237e-05 	 0.00000000000000000000e+00 
0.26250 	 0.00000000000000000000e+00 	 5.13762449798054005533e-05 	 0.00000000000000000000e+00 
0.27083 	 0.00000000000000000000e+00 	 5.61653895660423768416e-05 	 0.00000000000000000000e+00 
0.27917 	 0.00000000000000000000e+00 	 6.24610949331435780230e-05 	 0.00000000000000000000e+00 
0.28750 	 0.00000000000000000000e+00 	 6.81957016368791647028e-05 	 0.00000000000000000000e+00 
0.29583 	 0.00000000000000000000e+00 	 7.47873691140512280142e-05 	 0.00000000000000000000e+00 
0.30417 	 0.00000000000000000000e+00 	 8.09441134261069294075e-05 	 0.00000000000000000000e+00 
0.31250 	 0.00000000000000000000e+00 	 8.78636294464392886977e-05 	 0.00000000000000000000e+00 
0.32083 	 0.00000000000000000000e+00 	 9.69278048272922157459e-05 	 0.00000000000000000000e+00 
0.32917 	 0.00000000000000000000e+00 	 1.05780470946077430621e-04 	 0.00000000000000000000e+00 
0.33750 	 0.00000000000000000000e+00 	 1.18976040289704360141e-04 	 0.00000000000000000000e+00 
0.34583 	 0.00000000000000000000e+00 	 1.29888459857642620497e-04 	 0.00000000000000000000e+00 
0.35417 	 0.00000000000000000000e+00 	 1.40608411791822991276e-04 	 0.00000000000000000000e+00 
0.36250 	 0.00000000000000000000e+00 	 1.54967448385934686598e-04 	 0.00000000000000000000e+00 
0.37083 	 0.00000000000000000000e+00 	 1.70204667323051064658e-04 	 0.00000000000000000000e+00 
0.37917 	 0.00000000000000000000e+00 	 1.87711925065241062079e-04 	 0.00000000000000000000e+00 
0.38750 	 0.00000000000000000000e+00 	 2.06906889197444870000e-04 	 0.00000000000000000000e+00 
0.39583 	 0.00000000000000000000e+00 	 2.25519670658584609575e-04 	 0.00000000000000000000e+00 
0.40417 	 0.00000000000000000000e+00 	 2.47425343463302188987e-04 	 0.00000000000000000000e+00 
0.41250 	 0.00000000000000000000e+00 	 2.73970388005972574023e-04 	 0.00000000000000000000e+00 
0.42083 	 0.00000000000000000000e+00 	 2.97907116306452891298e-04 	 0.00000000000000000000e+00 
0.42917 	 0.00000000000000000000e+00 	 3.27060518955326088794e-04 	 0.00000000000000000000e+00 
0.43750 	 0.00000000000000000000e+00 	 3.60615585057572920168e-04 	 0.00000000000000000000e+00 
0.44583 	 0.00000000000000000000e+00 	 3.98216935778034986440e-04 	 0.00000000000000000000e+00 
0.45417 	 0.00000000000000000000e+00 	 4.39115382180449897922e-04 	 0.00000000000000000000e+00 
0.46250 	 0.00000000000000000000e+00 	 4.84826664743308788277e-04 	 0.00000000000000000000e+00 
0.47083 	 0.00000000000000000000e+00 	 5.35396236017085047978e-04 	 0.00000000000000000000e+00 
0.47917 	 0.00000000000000000000e+00 	 5.87849341911290393034e-04 	 0.00000000000000000000e+00 
0.48750 	 0.00000000000000000000e+00 	 6.45291055396467129641e-04 	 0.00000000000000000000e+00 
0.49583 	 0.00000000000000000000e+00 	 7.13032176278250080272e-04 	 0.00000000000000000000e+00 
0.50417 	 0.00000000000000000000e+00 	 7.85213662061395823930e-04 	 0.00000000000000000000e+00 
0.51250 	 0.00000000000000000000e+00 	 8.65096354504525221624e-04 	 0.00000000000000000000e+00 
0.52083 	 0.00000000000000000000e+00 	 9.54809291810051422728e-04 	 1.41920464402070349108e-08 
0.52917 	 0.00000000000000000000e+00 	 1.05182982418351657523e-03 	 4.98471158214059686165e-08 
0.53750 	 0.00000000000000000000e+00 	 1.16395582297963619961e-03 	 5.90231168140539799523e-08 
0.54583 	 0.00000000000000000000e+00 	 1.28124960805101506707e-03 	 1.97461238127577058699e-08 
0.55417 	 0.00000000000000000000e+00 	 1.41530952279610502953e-03 	 2.69639562555128106002e-08 
0.56250 	 0.00000000000000000000e+00 	 1.56595804173387492635e-03 	 3.96679854479110027527e-08 
0.57083 	 0.00000000000000000000e+00 	 1.73464073846806465969e-03 	 6.56437123766586667939e-08 
0.57917 	 0.00000000000000000000e+00 	 1.90610570429487627755e-03 	 6.19241151991699237426e-08 
0.58750 	 0.00000000000000000000e+00 	 2.10348919890993198145e-03 	 7.70784215818571754364e-08 
0.59583 	 0.00000000000000000000e+00 	 2.31983192980200238209e-03 	 6.50110308977318547388e-08 
0.60417 	 0.00000000000000000000e+00 	 2.56378415223181086585e-03 	 1.00612627528480358957e-07 
0.61250 	 0.00000000000000000000e+00 	 2.82858954576793112518e-03 	 1.29717731091130343370e-07 
0.62083 	 0.00000000000000000000e+00 	 3.12656240709218141011e-03 	 1.06560607768162084055e-07 
0.62917 	 0.00000000000000000000e+00 	 3.44165162598521938778e-03 	 2.13038750673898644308e-07 
0.63750 	 0.00000000000000000000e+00 	 3.79462281761273976383e-03 	 2.26223518916235883014e-07 
0.64583 	 0.00000000000000000000e+00 	 4.18480750544042868350e-03 	 2.46927416880254160202e-07 
0.65417 	 0.00000000000000000000e+00 	 4.62071548893250479140e-03 	 2.25578248964965883491e-07 
0.66250 	 0.00000000000000000000e+00 	 5.10776284804735723061e-03 	 2.57860962465103835665e-07 
0.67083 	 0.00000000000000000000e+00 	 5.64066141423932507215e-03 	 3.73798169912149082259e-07 
0.67917 	 0.00000000000000000000e+00 	 6.22787390580391720524e-03 	 4.19881524050810589395e-07 
0.68750 	 0.00000000000000000000e+00 	 6.87480267123763682385e-03 	 4.84252429668423326811e-07 
0.69583 	 0.00000000000000000000e+00 	 7.59387235613873286255e-03 	 5.42008340745252231927e-07 
0.70417 	 0.00000000000000000000e+00 	 8.39315307466689461413e-03 	 4.55173974459486715396e-07 
0.71250 	 0.00000000000000000000e+00 	 9.28497181715190293694e-03 	 5.17187233877716565894e-07 
0.72083 	 0.00000000000000000000e+00 	 1.02480576893487374673e-02 	 4.80747316398842422009e-07 
0.72917 	 0.00000000000000000000e+00 	 1.13316818974557240174e-02 	 4.96593638645645401436e-07 
0.73750 	 4.58099348804366445011e-09 	 1.25339462863850725771e-02 	 7.97714232238365831269e-07 
0.74583 	 2.71508973083088743221e-09 	 1.38657584749138796526e-02 	 7.26198932428510124730e-07 
0.75417 	 3.05901517672253224209e-09 	 1.53336921084590710462e-02 	 7.16434086034905925828e-07 
0.76250 	 1.19184789228375311388e-09 	 1.69708393889597096427e-02 	 8.11333345911610220305e-07 
0.77083 	 2.35165611916792972413e-09 	 1.87491755791567224487e-02 	 9.42923274985410966464e-07 
0.77917 	 1.65763088065254498453e-09 	 2.07401755441788578083e-02 	 1.27839859513577281496e-06 
0.78750 	 1.81446190204119610966e-09 	 2.29114162823145887937e-02 	 1.23666830159321682450e-06 
0.79583 	 6.01587437795509609837e-09 	 2.53340212461647673603e-02 	 1.48768232286528650413e-06 
0.80417 	 5.51119242943406302207e-09 	 2.80196555248184361875e-02 	 1.78008644809538891278e-06 
0.81250 	 2.07123373389298902840e-09 	 3.10212120799879635669e-02 	 1.72244195104695129449e-06 
0.82083 	 4.82630677712051354468e-10 	 3.42825450127521441646e-02 	 2.21653917294533374957e-06 
0.82917 	 3.68888176283820326491e-09 	 3.79251431944510122851e-02 	 2.33705067905522989073e-06 
0.83750 	 2.34933150777218350919e-09 	 4.19135638519097866728e-02 	 2.45282289152809007091e-06 
0.84583 	 3.57424436938949322998e-09 	 4.63364678885674688424e-02 	 2.44564659771242191828e-06 
0.85417 	 3.66768518209195611815e-09 	 5.12887002464979258054e-02 	 3.13599331518200633020e-06 
0.86250 	 3.82632222113562100295e-09 	 5.67256164597381637438e-02 	 3.27752383213551639100e-06 
0.87083 	 3.65564521128765949598e-09 	 6.27433835824454944063e-02 	 3.75619538593642649459e-06 
0.87917 	 2.17400257353735621757e-09 	 6.94378128923479748247e-02 	 4.04253342963817566578e-06 
0.88750 	 6.72087153817884608616e-09 	 7.67946162935664450311e-02 	 4.54172428231125904725e-06 
0.89583 	 9.28502077260978189548e-09 	 8.50344482925411149221e-02 	 5.35324389986658580234e-06 
0.90417 	 1.01090241997029900468e-08 	 9.40843192731257715877e-02 	 5.86431995398135688793e-06 
0.91250 	 1.63847111430931615435e-08 	 1.04173447045907835440e-01 	 6.31603255294390947288e-06 
0.92083 	 1.49139292507210750315e-08 	 1.15280156760584548414e-01 	 7.26246708308879155338e-06 
0.92917 	 2.31889172106860883848e-08 	 1.27592835443662205863e-01 	 8.09798695777374281338e-06 
0.93750 	 1.87185577116975812740e-08 	 1.41213338892328732488e-01 	 9.15585897606758489274e-06 
0.94583 	 1.53657201491215898219e-08 	 1.56238195125925294349e-01 	 9.88823990599213038669e-06 
0.95417 	 1.81132731891417945211e-08 	 1.72884900473874419946e-01 	 1.10430433385468464402e-05 
0.96250 	 1.51229532486550688233e-08 	 1.91379561980448059666e-01 	 1.14465956658618793886e-05 
0.97083 	 1.66809477169503043523e-08 	 2.11765184768880621036e-01 	 1.23167930184439200633e-05 
0.97917 	 1.75863374019397793642e-08 	 2.34500673417054300574e-01 	 1.45045492210362787750e-05 
0.98750 	 1.73902996983014839958e-08 	 2.59664063097189534712e-01 	 1.57045938180950825987e-05 
0.99583 	 2.14904428004859997762e-08 	 2.87693600810812855073e-01 	 1.83451631904195089611e-05 
1.00417 	 2.77604697927180372031e-08 	 3.18898155155780460568e-01 	 2.05338455574223973353e-05 
1.01250 	 3.35525595371672891886e-08 	 3.54114205526960490467e-01 	 2.26148462946312643173e-05 
1.02083 	 3.81498462827203324575e-08 	 3.94345242874946766420e-01 	 2.43024374086010204802e-05 
1.02917 	 3.55965710395018479787e-08 	 4.43286952591815053282e-01 	 2.77080186886443478205e-05 
1.03750 	 4.01150820818009282725e-08 	 5.13434832583493094837e-01 	 2.98129325658017809656e-05 
1.04583 	 5.20669656589364743045e-08 	 8.52927372065281019786e-01 	 3.31191558147874904098e-05 
1.05417 	 5.16690386276594638851e-08 	 6.25979598877774989774e-01 	 3.79102549254641080722e-05 
1.06250 	 6.16386160907245842039e-08 	 4.84421815104570496757e-01 	 4.05413578204504989146e-05 
1.07083 	 5.87184736512940807658e-08 	 4.19928954500664697314e-01 	 4.54319194973341411795e-05 
1.07917 	 6.93796874940141583114e-08 	 3.71757169253967623135e-01 	 4.91593895218078697591e-05 
1.08750 	 8.29720386257122666149e-08 	 3.31468871968347678081e-01 	 5.55427571837857956107e-05 
1.09583 	 7.14372640238334270945e-08 	 2.96334302016493411625e-01 	 6.21320438468637151934e-05 
1.10417 	 8.18517433288037688519e-08 	 2.65116341444939396244e-01 	 7.01825817744318382774e-05 
1.11250 	 1.00148460426817895946e-07 	 2.37497050566546907824e-01 	 7.61172122280479371541e-05 
1.12083 	 9.97181998064434995327e-08 	 2.12801837077590927372e-01 	 8.55293952133895216865e-05 
1.12917 	 1.15008015906890656042e-07 	 1.90645768650350544426e-01 	 9.58393722944499089388e-05 
1.13750 	 1.35222722552108188233e-07 	 1.70855625819248568842e-01 	 1.07534561751728647617e-04 
1.14583 	 1.25905005503395392680e-07 	 1.53115450549357878796e-01 	 1.19613481423667866103e-04 
1.15417 	 1.42362016347152317195e-07 	 1.37212828718537654948e-01 	 1.30905044565766449666e-04 
1.16250 	 1.68264105632045411401e-07 	 1.22953374678075585957e-01 	 1.47403347829222806193e-04 
1.17083 	 1.79534724953566270199e-07 	 1.10181097720840184828e-01 	 1.64362170465490094748e-04 
1.17917 	 1.92795303037087934017e-07 	 9.87779987835628037196e-02 	 1.82777728590895042517e-04 
1.18750 	 1.98440107934417167272e-07 	 8.86022646913206535224e-02 	 2.02323529972010443924e-04 
1.19583 	 2.26912311190871043380e-07 	 7.93693942498439469757e-02 	 2.26391255200972301093e-04 
1.20417 	 2.69346651213127665077e-07 	 7.11477564476776791480e-02 	 2.53631508924777088112e-04 
1.21250 	 2.78443109593013747478e-07 	 6.37571824572856771240e-02 	 2.77830269524263491054e-04 
1.22083 	 3.30704058649537653195e-07 	 5.72093131904059110093e-02 	 3.09086580583634745224e-04 
1.22917 	 3.73723431600704694410e-07 	 5.12721505021599410767e-02 	 3.44320800946607929842e-04 
