time elapsed: 287.5533 seconds

=================================

sim results:

number of photons = 1000000000
overflow: 1.35339096000000000000e+08
sum: 8.64660904000000000000e+08
sum: 8.64660904000000000000e+08
avg: 8.64660903999999952418e-01
perc_in: 86.47

number of photons = 1000000000
bin size = 0.00833 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.00417 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.72947319999999993279e-01 
0.01250 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.73240719999999992496e-01 
0.02083 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.72900040000000010387e-01 
0.02917 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.73099360000000013216e-01 
0.03750 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.73058199999999973162e-01 
0.04583 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.73153480000000004058e-01 
0.05417 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.73432719999999962468e-01 
0.06250 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.73438239999999999075e-01 
0.07083 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.73549480000000011515e-01 
0.07917 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.73684000000000038355e-01 
0.08750 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.73986759999999995863e-01 
0.09583 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.74178760000000021346e-01 
0.10417 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.74282680000000000931e-01 
0.11250 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.74745640000000013181e-01 
0.12083 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.75065920000000019296e-01 
0.12917 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.75112120000000015541e-01 
0.13750 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.75359679999999995559e-01 
0.14583 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.75854560000000026410e-01 
0.15417 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.76437519999999992137e-01 
0.16250 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.76498839999999967976e-01 
0.17083 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.76943680000000025387e-01 
0.17917 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.77319639999999978386e-01 
0.18750 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.77740240000000027099e-01 
0.19583 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.78050439999999954299e-01 
0.20417 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.78272199999999969577e-01 
0.21250 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.79154679999999988382e-01 
0.22083 	 0.00000000000000000000e+00 	 0.00000000000000000000e+00 	 2.79912479999999963542e-01 
