number of photons = 100000000
overflow: 2.89055833004013895988e+07
sum: 7.10947982169463783503e+07
sum: 7.10944166995986104012e+07
avg: 7.10947982169463754687e-01
perc_in: 71.09

number of photons = 100000000
bin size = 0.00833 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.00417 	 0.00000000000000000000e+00 	 7.48551974750600340627e-06 	 0.00000000000000000000e+00 
0.01250 	 0.00000000000000000000e+00 	 7.27689726016225716705e-06 	 0.00000000000000000000e+00 
0.02083 	 0.00000000000000000000e+00 	 7.16888292551731508674e-06 	 0.00000000000000000000e+00 
0.02917 	 0.00000000000000000000e+00 	 7.20237299933355379805e-06 	 0.00000000000000000000e+00 
0.03750 	 0.00000000000000000000e+00 	 7.67084271071394588803e-06 	 0.00000000000000000000e+00 
0.04583 	 0.00000000000000000000e+00 	 8.12907831817882065614e-06 	 0.00000000000000000000e+00 
0.05417 	 0.00000000000000000000e+00 	 8.28392423729122786375e-06 	 0.00000000000000000000e+00 
0.06250 	 0.00000000000000000000e+00 	 8.93568768339161737576e-06 	 0.00000000000000000000e+00 
0.07083 	 0.00000000000000000000e+00 	 9.38587389571599531996e-06 	 0.00000000000000000000e+00 
0.07917 	 0.00000000000000000000e+00 	 1.00289727571975884280e-05 	 0.00000000000000000000e+00 
0.08750 	 0.00000000000000000000e+00 	 1.03353099267420548302e-05 	 0.00000000000000000000e+00 
0.09583 	 0.00000000000000000000e+00 	 1.09262791337682592098e-05 	 0.00000000000000000000e+00 
0.10417 	 0.00000000000000000000e+00 	 1.16787527031511970252e-05 	 0.00000000000000000000e+00 
0.11250 	 0.00000000000000000000e+00 	 1.25594744557221429883e-05 	 0.00000000000000000000e+00 
0.12083 	 0.00000000000000000000e+00 	 1.31859208068499007024e-05 	 0.00000000000000000000e+00 
0.12917 	 0.00000000000000000000e+00 	 1.40486552899008430173e-05 	 0.00000000000000000000e+00 
0.13750 	 0.00000000000000000000e+00 	 1.49169456464175381668e-05 	 0.00000000000000000000e+00 
0.14583 	 0.00000000000000000000e+00 	 1.60616343745280031280e-05 	 0.00000000000000000000e+00 
0.15417 	 0.00000000000000000000e+00 	 1.75474325296345924912e-05 	 0.00000000000000000000e+00 
0.16250 	 0.00000000000000000000e+00 	 1.89523531778092610921e-05 	 0.00000000000000000000e+00 
0.17083 	 0.00000000000000000000e+00 	 2.05577087026413446880e-05 	 0.00000000000000000000e+00 
0.17917 	 0.00000000000000000000e+00 	 2.24718153838551434366e-05 	 0.00000000000000000000e+00 
0.18750 	 0.00000000000000000000e+00 	 2.41701478234720205332e-05 	 0.00000000000000000000e+00 
0.19583 	 0.00000000000000000000e+00 	 2.61017451521314720062e-05 	 0.00000000000000000000e+00 
0.20417 	 0.00000000000000000000e+00 	 2.82650314203671130305e-05 	 0.00000000000000000000e+00 
0.21250 	 0.00000000000000000000e+00 	 3.06747536390851232788e-05 	 0.00000000000000000000e+00 
0.22083 	 0.00000000000000000000e+00 	 3.32750658502198784342e-05 	 0.00000000000000000000e+00 
0.22917 	 0.00000000000000000000e+00 	 3.62428203792648290964e-05 	 0.00000000000000000000e+00 
0.23750 	 0.00000000000000000000e+00 	 3.94113985661534080556e-05 	 7.68204611953248081882e-11 
