time elapsed: 8.0297 seconds

=================================

sim results:

number of photons = 10000.000000
bin size = 0.00833 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.00417 	 0.000e+00 	 0.000e+00 	 1.920e-01 
0.01250 	 0.000e+00 	 0.000e+00 	 2.520e-01 
0.02083 	 0.000e+00 	 0.000e+00 	 2.160e-01 
0.02917 	 0.000e+00 	 0.000e+00 	 1.800e-01 
0.03750 	 0.000e+00 	 0.000e+00 	 3.000e-01 
0.04583 	 0.000e+00 	 0.000e+00 	 2.280e-01 
0.05417 	 0.000e+00 	 0.000e+00 	 3.120e-01 
0.06250 	 0.000e+00 	 0.000e+00 	 2.520e-01 
0.07083 	 0.000e+00 	 0.000e+00 	 2.760e-01 
0.07917 	 0.000e+00 	 0.000e+00 	 2.400e-01 
0.08750 	 0.000e+00 	 0.000e+00 	 2.040e-01 
0.09583 	 0.000e+00 	 0.000e+00 	 3.360e-01 
0.10417 	 0.000e+00 	 0.000e+00 	 2.280e-01 
0.11250 	 0.000e+00 	 0.000e+00 	 3.480e-01 
0.12083 	 0.000e+00 	 0.000e+00 	 2.520e-01 
0.12917 	 0.000e+00 	 0.000e+00 	 2.760e-01 
0.13750 	 0.000e+00 	 0.000e+00 	 3.000e-01 
0.14583 	 0.000e+00 	 0.000e+00 	 3.720e-01 
0.15417 	 0.000e+00 	 0.000e+00 	 3.240e-01 
0.16250 	 0.000e+00 	 0.000e+00 	 2.520e-01 
0.17083 	 0.000e+00 	 0.000e+00 	 3.600e-01 
0.17917 	 0.000e+00 	 0.000e+00 	 2.760e-01 
0.18750 	 0.000e+00 	 0.000e+00 	 3.240e-01 
0.19583 	 0.000e+00 	 0.000e+00 	 3.360e-01 
0.20417 	 0.000e+00 	 0.000e+00 	 3.240e-01 
0.21250 	 0.000e+00 	 0.000e+00 	 2.160e-01 
0.22083 	 0.000e+00 	 0.000e+00 	 2.040e-01 
0.22917 	 0.000e+00 	 0.000e+00 	 1.680e-01 
0.23750 	 0.000e+00 	 0.000e+00 	 2.880e-01 
0.24583 	 0.000e+00 	 0.000e+00 	 3.840e-01 
0.25417 	 0.000e+00 	 0.000e+00 	 2.760e-01 
0.26250 	 0.000e+00 	 0.000e+00 	 2.640e-01 
0.27083 	 0.000e+00 	 0.000e+00 	 2.760e-01 
0.27917 	 0.000e+00 	 0.000e+00 	 3.480e-01 
0.28750 	 0.000e+00 	 0.000e+00 	 1.680e-01 
0.29583 	 0.000e+00 	 0.000e+00 	 3.960e-01 
0.30417 	 0.000e+00 	 0.000e+00 	 3.360e-01 
0.31250 	 0.000e+00 	 0.000e+00 	 3.000e-01 
0.32083 	 0.000e+00 	 0.000e+00 	 3.360e-01 
0.32917 	 0.000e+00 	 0.000e+00 	 3.240e-01 
0.33750 	 0.000e+00 	 0.000e+00 	 2.880e-01 
0.34583 	 0.000e+00 	 0.000e+00 	 2.640e-01 
0.35417 	 0.000e+00 	 0.000e+00 	 2.880e-01 
0.36250 	 0.000e+00 	 0.000e+00 	 3.240e-01 
0.37083 	 0.000e+00 	 0.000e+00 	 3.000e-01 
0.37917 	 0.000e+00 	 0.000e+00 	 4.440e-01 
0.38750 	 0.000e+00 	 0.000e+00 	 3.000e-01 
0.39583 	 0.000e+00 	 0.000e+00 	 3.600e-01 
0.40417 	 0.000e+00 	 0.000e+00 	 3.600e-01 
0.41250 	 0.000e+00 	 0.000e+00 	 3.840e-01 
0.42083 	 0.000e+00 	 0.000e+00 	 2.280e-01 
0.42917 	 0.000e+00 	 0.000e+00 	 2.880e-01 
0.43750 	 0.000e+00 	 0.000e+00 	 2.880e-01 
0.44583 	 0.000e+00 	 0.000e+00 	 2.280e-01 
0.45417 	 0.000e+00 	 0.000e+00 	 1.920e-01 
0.46250 	 0.000e+00 	 0.000e+00 	 3.000e-01 
0.47083 	 0.000e+00 	 0.000e+00 	 2.880e-01 
0.47917 	 0.000e+00 	 0.000e+00 	 3.480e-01 
0.48750 	 0.000e+00 	 0.000e+00 	 2.160e-01 
0.49583 	 0.000e+00 	 0.000e+00 	 2.880e-01 
0.50417 	 0.000e+00 	 0.000e+00 	 3.000e-01 
0.51250 	 0.000e+00 	 0.000e+00 	 3.360e-01 
0.52083 	 0.000e+00 	 0.000e+00 	 2.160e-01 
0.52917 	 0.000e+00 	 0.000e+00 	 3.360e-01 
0.53750 	 0.000e+00 	 0.000e+00 	 3.360e-01 
0.54583 	 0.000e+00 	 0.000e+00 	 4.440e-01 
0.55417 	 0.000e+00 	 0.000e+00 	 3.600e-01 
0.56250 	 0.000e+00 	 0.000e+00 	 3.120e-01 
0.57083 	 0.000e+00 	 0.000e+00 	 2.880e-01 
0.57917 	 0.000e+00 	 0.000e+00 	 2.880e-01 
0.58750 	 0.000e+00 	 0.000e+00 	 3.240e-01 
0.59583 	 0.000e+00 	 0.000e+00 	 3.840e-01 
0.60417 	 0.000e+00 	 0.000e+00 	 2.400e-01 
0.61250 	 0.000e+00 	 0.000e+00 	 4.080e-01 
0.62083 	 0.000e+00 	 0.000e+00 	 1.800e-01 
0.62917 	 0.000e+00 	 0.000e+00 	 3.240e-01 
0.63750 	 0.000e+00 	 0.000e+00 	 2.880e-01 
0.64583 	 0.000e+00 	 0.000e+00 	 2.640e-01 
0.65417 	 0.000e+00 	 0.000e+00 	 2.640e-01 
0.66250 	 0.000e+00 	 0.000e+00 	 3.360e-01 
0.67083 	 0.000e+00 	 0.000e+00 	 3.000e-01 
0.67917 	 0.000e+00 	 0.000e+00 	 2.880e-01 
0.68750 	 0.000e+00 	 0.000e+00 	 3.600e-01 
0.69583 	 0.000e+00 	 0.000e+00 	 3.240e-01 
0.70417 	 0.000e+00 	 0.000e+00 	 2.640e-01 
0.71250 	 0.000e+00 	 0.000e+00 	 3.600e-01 
0.72083 	 0.000e+00 	 0.000e+00 	 2.400e-01 
0.72917 	 0.000e+00 	 0.000e+00 	 3.600e-01 
0.73750 	 0.000e+00 	 0.000e+00 	 3.960e-01 
0.74583 	 0.000e+00 	 0.000e+00 	 3.120e-01 
0.75417 	 0.000e+00 	 0.000e+00 	 3.000e-01 
0.76250 	 0.000e+00 	 0.000e+00 	 3.360e-01 
0.77083 	 0.000e+00 	 0.000e+00 	 3.120e-01 
0.77917 	 0.000e+00 	 0.000e+00 	 4.200e-01 
0.78750 	 0.000e+00 	 0.000e+00 	 4.080e-01 
0.79583 	 0.000e+00 	 0.000e+00 	 2.760e-01 
0.80417 	 0.000e+00 	 0.000e+00 	 3.720e-01 
0.81250 	 0.000e+00 	 0.000e+00 	 3.240e-01 
0.82083 	 0.000e+00 	 0.000e+00 	 3.840e-01 
0.82917 	 0.000e+00 	 0.000e+00 	 4.080e-01 
0.83750 	 0.000e+00 	 0.000e+00 	 3.120e-01 
0.84583 	 0.000e+00 	 0.000e+00 	 3.240e-01 
0.85417 	 0.000e+00 	 0.000e+00 	 4.440e-01 
0.86250 	 0.000e+00 	 0.000e+00 	 3.360e-01 
0.87083 	 0.000e+00 	 0.000e+00 	 2.400e-01 
0.87917 	 0.000e+00 	 0.000e+00 	 3.600e-01 
0.88750 	 0.000e+00 	 0.000e+00 	 3.120e-01 
0.89583 	 0.000e+00 	 0.000e+00 	 4.080e-01 
0.90417 	 0.000e+00 	 0.000e+00 	 3.120e-01 
0.91250 	 0.000e+00 	 0.000e+00 	 3.480e-01 
0.92083 	 0.000e+00 	 0.000e+00 	 4.680e-01 
0.92917 	 0.000e+00 	 0.000e+00 	 4.440e-01 
0.93750 	 0.000e+00 	 0.000e+00 	 4.320e-01 
0.94583 	 0.000e+00 	 0.000e+00 	 3.600e-01 
0.95417 	 0.000e+00 	 0.000e+00 	 4.680e-01 
0.96250 	 0.000e+00 	 0.000e+00 	 3.720e-01 
0.97083 	 0.000e+00 	 0.000e+00 	 5.160e-01 
0.97917 	 0.000e+00 	 0.000e+00 	 3.480e-01 
0.98750 	 0.000e+00 	 0.000e+00 	 3.600e-01 
0.99583 	 0.000e+00 	 0.000e+00 	 3.720e-01 
1.00417 	 0.000e+00 	 0.000e+00 	 4.080e-01 
1.01250 	 0.000e+00 	 0.000e+00 	 4.560e-01 
1.02083 	 0.000e+00 	 0.000e+00 	 3.240e-01 
1.02917 	 0.000e+00 	 0.000e+00 	 3.840e-01 
1.03750 	 0.000e+00 	 0.000e+00 	 3.960e-01 
1.04583 	 9.604e-02 	 1.826e+01 	 3.960e-01 
1.05417 	 2.174e-01 	 0.000e+00 	 3.600e-01 
1.06250 	 1.438e-01 	 0.000e+00 	 3.840e-01 
1.07083 	 8.578e-02 	 0.000e+00 	 3.360e-01 
1.07917 	 8.774e-02 	 0.000e+00 	 4.560e-01 
1.08750 	 7.671e-02 	 0.000e+00 	 4.440e-01 
1.09583 	 7.316e-02 	 0.000e+00 	 4.200e-01 
1.10417 	 6.031e-02 	 0.000e+00 	 3.720e-01 
1.11250 	 6.867e-02 	 0.000e+00 	 4.560e-01 
1.12083 	 6.309e-02 	 0.000e+00 	 3.840e-01 
1.12917 	 4.644e-02 	 0.000e+00 	 5.520e-01 
1.13750 	 4.428e-02 	 0.000e+00 	 5.280e-01 
1.14583 	 4.073e-02 	 0.000e+00 	 3.600e-01 
1.15417 	 3.871e-02 	 0.000e+00 	 6.480e-01 
1.16250 	 3.957e-02 	 0.000e+00 	 6.000e-01 
1.17083 	 3.831e-02 	 0.000e+00 	 4.800e-01 
1.17917 	 4.807e-02 	 0.000e+00 	 3.960e-01 
1.18750 	 3.928e-02 	 0.000e+00 	 5.160e-01 
1.19583 	 3.406e-02 	 0.000e+00 	 5.160e-01 
1.20417 	 4.017e-02 	 0.000e+00 	 4.440e-01 
1.21250 	 3.443e-02 	 0.000e+00 	 6.240e-01 
1.22083 	 2.627e-02 	 0.000e+00 	 4.920e-01 
1.22917 	 2.907e-02 	 0.000e+00 	 4.560e-01 
1.23750 	 2.931e-02 	 0.000e+00 	 5.280e-01 
1.24583 	 2.646e-02 	 0.000e+00 	 4.920e-01 
1.25417 	 3.218e-02 	 0.000e+00 	 5.280e-01 
1.26250 	 2.816e-02 	 0.000e+00 	 5.280e-01 
1.27083 	 2.365e-02 	 0.000e+00 	 5.880e-01 
1.27917 	 2.918e-02 	 0.000e+00 	 4.440e-01 
1.28750 	 2.880e-02 	 0.000e+00 	 5.160e-01 
1.29583 	 2.559e-02 	 0.000e+00 	 6.360e-01 
1.30417 	 2.863e-02 	 0.000e+00 	 6.000e-01 
1.31250 	 2.993e-02 	 0.000e+00 	 4.320e-01 
1.32083 	 2.518e-02 	 0.000e+00 	 4.680e-01 
1.32917 	 2.649e-02 	 0.000e+00 	 5.280e-01 
1.33750 	 2.509e-02 	 0.000e+00 	 7.200e-01 
1.34583 	 2.320e-02 	 0.000e+00 	 6.000e-01 
1.35417 	 2.760e-02 	 0.000e+00 	 4.680e-01 
1.36250 	 1.852e-02 	 0.000e+00 	 5.880e-01 
1.37083 	 2.439e-02 	 0.000e+00 	 6.360e-01 
1.37917 	 2.309e-02 	 0.000e+00 	 4.200e-01 
1.38750 	 2.034e-02 	 0.000e+00 	 6.840e-01 
1.39583 	 2.794e-02 	 0.000e+00 	 5.280e-01 
1.40417 	 2.664e-02 	 0.000e+00 	 5.520e-01 
1.41250 	 2.202e-02 	 0.000e+00 	 6.120e-01 
1.42083 	 2.602e-02 	 0.000e+00 	 6.120e-01 
1.42917 	 2.758e-02 	 0.000e+00 	 4.560e-01 
1.43750 	 1.710e-02 	 0.000e+00 	 6.480e-01 
1.44583 	 1.964e-02 	 0.000e+00 	 5.400e-01 
1.45417 	 2.393e-02 	 0.000e+00 	 6.840e-01 
1.46250 	 2.054e-02 	 0.000e+00 	 5.400e-01 
1.47083 	 1.942e-02 	 0.000e+00 	 5.520e-01 
1.47917 	 2.008e-02 	 0.000e+00 	 6.840e-01 
1.48750 	 1.942e-02 	 0.000e+00 	 8.880e-01 
1.49583 	 1.835e-02 	 0.000e+00 	 7.440e-01 
1.50417 	 2.068e-02 	 0.000e+00 	 6.720e-01 
1.51250 	 2.338e-02 	 0.000e+00 	 6.360e-01 
1.52083 	 1.404e-02 	 0.000e+00 	 6.600e-01 
1.52917 	 2.369e-02 	 0.000e+00 	 7.440e-01 
1.53750 	 2.222e-02 	 0.000e+00 	 6.600e-01 
1.54583 	 2.198e-02 	 0.000e+00 	 6.720e-01 
1.55417 	 2.016e-02 	 0.000e+00 	 8.160e-01 
1.56250 	 2.582e-02 	 0.000e+00 	 6.480e-01 
