time elapsed: 9.4164 seconds

=================================

sim results:

number of photons = 1000000.000000
bin size = 0.00833 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.00417 	 0.000e+00 	 0.000e+00 	 2.753e-01 
0.01250 	 0.000e+00 	 0.000e+00 	 2.773e-01 
0.02083 	 0.000e+00 	 0.000e+00 	 2.632e-01 
0.02917 	 0.000e+00 	 0.000e+00 	 2.700e-01 
0.03750 	 0.000e+00 	 0.000e+00 	 2.659e-01 
0.04583 	 0.000e+00 	 0.000e+00 	 2.734e-01 
0.05417 	 0.000e+00 	 0.000e+00 	 2.752e-01 
0.06250 	 0.000e+00 	 0.000e+00 	 2.729e-01 
0.07083 	 0.000e+00 	 0.000e+00 	 2.768e-01 
0.07917 	 0.000e+00 	 0.000e+00 	 2.794e-01 
0.08750 	 0.000e+00 	 0.000e+00 	 2.722e-01 
0.09583 	 0.000e+00 	 0.000e+00 	 2.764e-01 
0.10417 	 0.000e+00 	 0.000e+00 	 2.758e-01 
0.11250 	 0.000e+00 	 0.000e+00 	 2.728e-01 
0.12083 	 0.000e+00 	 0.000e+00 	 2.720e-01 
0.12917 	 0.000e+00 	 0.000e+00 	 2.676e-01 
0.13750 	 0.000e+00 	 0.000e+00 	 2.824e-01 
0.14583 	 0.000e+00 	 0.000e+00 	 2.880e-01 
0.15417 	 0.000e+00 	 0.000e+00 	 2.725e-01 
0.16250 	 0.000e+00 	 0.000e+00 	 2.812e-01 
0.17083 	 0.000e+00 	 0.000e+00 	 2.726e-01 
0.17917 	 0.000e+00 	 0.000e+00 	 2.771e-01 
0.18750 	 0.000e+00 	 0.000e+00 	 2.819e-01 
0.19583 	 0.000e+00 	 0.000e+00 	 2.738e-01 
0.20417 	 0.000e+00 	 0.000e+00 	 2.846e-01 
0.21250 	 0.000e+00 	 0.000e+00 	 2.753e-01 
0.22083 	 0.000e+00 	 0.000e+00 	 2.730e-01 
0.22917 	 0.000e+00 	 0.000e+00 	 2.808e-01 
0.23750 	 0.000e+00 	 0.000e+00 	 2.804e-01 
0.24583 	 0.000e+00 	 0.000e+00 	 2.771e-01 
0.25417 	 0.000e+00 	 0.000e+00 	 2.802e-01 
0.26250 	 0.000e+00 	 0.000e+00 	 2.785e-01 
0.27083 	 0.000e+00 	 0.000e+00 	 2.852e-01 
0.27917 	 0.000e+00 	 0.000e+00 	 2.777e-01 
0.28750 	 0.000e+00 	 0.000e+00 	 2.867e-01 
0.29583 	 0.000e+00 	 0.000e+00 	 2.908e-01 
0.30417 	 0.000e+00 	 0.000e+00 	 2.783e-01 
0.31250 	 0.000e+00 	 0.000e+00 	 2.924e-01 
0.32083 	 0.000e+00 	 0.000e+00 	 2.898e-01 
0.32917 	 0.000e+00 	 0.000e+00 	 2.908e-01 
0.33750 	 0.000e+00 	 0.000e+00 	 2.858e-01 
0.34583 	 0.000e+00 	 0.000e+00 	 2.852e-01 
0.35417 	 0.000e+00 	 0.000e+00 	 2.857e-01 
0.36250 	 0.000e+00 	 0.000e+00 	 2.912e-01 
0.37083 	 0.000e+00 	 0.000e+00 	 2.981e-01 
0.37917 	 0.000e+00 	 0.000e+00 	 2.878e-01 
0.38750 	 0.000e+00 	 0.000e+00 	 2.940e-01 
0.39583 	 0.000e+00 	 0.000e+00 	 2.860e-01 
0.40417 	 0.000e+00 	 0.000e+00 	 2.939e-01 
0.41250 	 0.000e+00 	 0.000e+00 	 3.082e-01 
0.42083 	 0.000e+00 	 0.000e+00 	 3.052e-01 
0.42917 	 0.000e+00 	 0.000e+00 	 3.035e-01 
0.43750 	 0.000e+00 	 0.000e+00 	 2.951e-01 
0.44583 	 0.000e+00 	 0.000e+00 	 2.951e-01 
0.45417 	 0.000e+00 	 0.000e+00 	 2.860e-01 
0.46250 	 0.000e+00 	 0.000e+00 	 3.047e-01 
0.47083 	 0.000e+00 	 0.000e+00 	 2.993e-01 
0.47917 	 0.000e+00 	 0.000e+00 	 3.096e-01 
0.48750 	 0.000e+00 	 0.000e+00 	 2.983e-01 
0.49583 	 0.000e+00 	 0.000e+00 	 3.072e-01 
0.50417 	 0.000e+00 	 0.000e+00 	 3.073e-01 
0.51250 	 0.000e+00 	 0.000e+00 	 3.166e-01 
0.52083 	 0.000e+00 	 0.000e+00 	 3.058e-01 
0.52917 	 0.000e+00 	 0.000e+00 	 3.088e-01 
0.53750 	 0.000e+00 	 0.000e+00 	 3.104e-01 
0.54583 	 0.000e+00 	 0.000e+00 	 3.050e-01 
0.55417 	 0.000e+00 	 0.000e+00 	 3.217e-01 
0.56250 	 0.000e+00 	 0.000e+00 	 3.149e-01 
0.57083 	 0.000e+00 	 0.000e+00 	 3.224e-01 
0.57917 	 0.000e+00 	 0.000e+00 	 3.188e-01 
0.58750 	 0.000e+00 	 0.000e+00 	 3.204e-01 
0.59583 	 0.000e+00 	 0.000e+00 	 3.198e-01 
0.60417 	 0.000e+00 	 0.000e+00 	 3.238e-01 
0.61250 	 0.000e+00 	 0.000e+00 	 3.343e-01 
0.62083 	 0.000e+00 	 0.000e+00 	 3.256e-01 
0.62917 	 0.000e+00 	 0.000e+00 	 3.364e-01 
0.63750 	 0.000e+00 	 0.000e+00 	 3.343e-01 
0.64583 	 0.000e+00 	 0.000e+00 	 3.278e-01 
0.65417 	 0.000e+00 	 0.000e+00 	 3.370e-01 
0.66250 	 0.000e+00 	 0.000e+00 	 3.392e-01 
0.67083 	 0.000e+00 	 0.000e+00 	 3.380e-01 
0.67917 	 0.000e+00 	 0.000e+00 	 3.337e-01 
0.68750 	 0.000e+00 	 0.000e+00 	 3.472e-01 
0.69583 	 0.000e+00 	 0.000e+00 	 3.385e-01 
0.70417 	 0.000e+00 	 0.000e+00 	 3.384e-01 
0.71250 	 0.000e+00 	 0.000e+00 	 3.424e-01 
0.72083 	 0.000e+00 	 0.000e+00 	 3.312e-01 
0.72917 	 0.000e+00 	 0.000e+00 	 3.516e-01 
0.73750 	 0.000e+00 	 0.000e+00 	 3.601e-01 
0.74583 	 0.000e+00 	 0.000e+00 	 3.527e-01 
0.75417 	 0.000e+00 	 0.000e+00 	 3.576e-01 
0.76250 	 0.000e+00 	 0.000e+00 	 3.534e-01 
0.77083 	 0.000e+00 	 0.000e+00 	 3.595e-01 
0.77917 	 0.000e+00 	 0.000e+00 	 3.512e-01 
0.78750 	 0.000e+00 	 0.000e+00 	 3.516e-01 
0.79583 	 0.000e+00 	 0.000e+00 	 3.626e-01 
0.80417 	 0.000e+00 	 0.000e+00 	 3.709e-01 
0.81250 	 0.000e+00 	 0.000e+00 	 3.706e-01 
0.82083 	 0.000e+00 	 0.000e+00 	 3.540e-01 
0.82917 	 0.000e+00 	 0.000e+00 	 3.571e-01 
0.83750 	 0.000e+00 	 0.000e+00 	 3.659e-01 
0.84583 	 0.000e+00 	 0.000e+00 	 3.780e-01 
0.85417 	 0.000e+00 	 0.000e+00 	 3.830e-01 
0.86250 	 0.000e+00 	 0.000e+00 	 3.852e-01 
0.87083 	 0.000e+00 	 0.000e+00 	 3.817e-01 
0.87917 	 0.000e+00 	 0.000e+00 	 3.914e-01 
0.88750 	 0.000e+00 	 0.000e+00 	 3.846e-01 
0.89583 	 0.000e+00 	 0.000e+00 	 3.794e-01 
0.90417 	 0.000e+00 	 0.000e+00 	 3.988e-01 
0.91250 	 0.000e+00 	 0.000e+00 	 4.050e-01 
0.92083 	 0.000e+00 	 0.000e+00 	 3.935e-01 
0.92917 	 0.000e+00 	 0.000e+00 	 3.947e-01 
0.93750 	 0.000e+00 	 0.000e+00 	 3.962e-01 
0.94583 	 0.000e+00 	 0.000e+00 	 3.924e-01 
0.95417 	 0.000e+00 	 0.000e+00 	 4.074e-01 
0.96250 	 0.000e+00 	 0.000e+00 	 4.049e-01 
0.97083 	 0.000e+00 	 0.000e+00 	 4.234e-01 
0.97917 	 0.000e+00 	 0.000e+00 	 4.061e-01 
0.98750 	 0.000e+00 	 0.000e+00 	 4.348e-01 
0.99583 	 0.000e+00 	 0.000e+00 	 4.159e-01 
1.00417 	 0.000e+00 	 0.000e+00 	 4.196e-01 
1.01250 	 0.000e+00 	 0.000e+00 	 4.219e-01 
1.02083 	 0.000e+00 	 0.000e+00 	 4.286e-01 
1.02917 	 0.000e+00 	 0.000e+00 	 4.253e-01 
1.03750 	 0.000e+00 	 0.000e+00 	 4.386e-01 
1.04583 	 1.149e-01 	 1.826e+01 	 4.240e-01 
1.05417 	 2.187e-01 	 0.000e+00 	 4.364e-01 
1.06250 	 1.245e-01 	 0.000e+00 	 4.488e-01 
1.07083 	 9.606e-02 	 0.000e+00 	 4.418e-01 
1.07917 	 8.109e-02 	 0.000e+00 	 4.471e-01 
1.08750 	 7.336e-02 	 0.000e+00 	 4.658e-01 
1.09583 	 6.572e-02 	 0.000e+00 	 4.681e-01 
1.10417 	 5.984e-02 	 0.000e+00 	 4.498e-01 
1.11250 	 5.643e-02 	 0.000e+00 	 4.663e-01 
1.12083 	 5.237e-02 	 0.000e+00 	 4.673e-01 
1.12917 	 5.131e-02 	 0.000e+00 	 4.672e-01 
1.13750 	 4.737e-02 	 0.000e+00 	 4.673e-01 
1.14583 	 4.470e-02 	 0.000e+00 	 4.733e-01 
1.15417 	 4.306e-02 	 0.000e+00 	 4.855e-01 
1.16250 	 4.207e-02 	 0.000e+00 	 4.721e-01 
1.17083 	 4.065e-02 	 0.000e+00 	 4.823e-01 
1.17917 	 3.884e-02 	 0.000e+00 	 4.823e-01 
1.18750 	 3.781e-02 	 0.000e+00 	 4.954e-01 
1.19583 	 3.703e-02 	 0.000e+00 	 4.992e-01 
1.20417 	 3.590e-02 	 0.000e+00 	 5.039e-01 
1.21250 	 3.553e-02 	 0.000e+00 	 4.962e-01 
1.22083 	 3.457e-02 	 0.000e+00 	 4.931e-01 
1.22917 	 3.340e-02 	 0.000e+00 	 5.102e-01 
1.23750 	 3.283e-02 	 0.000e+00 	 5.084e-01 
1.24583 	 3.238e-02 	 0.000e+00 	 5.200e-01 
1.25417 	 3.130e-02 	 0.000e+00 	 4.938e-01 
1.26250 	 3.042e-02 	 0.000e+00 	 5.134e-01 
1.27083 	 2.942e-02 	 0.000e+00 	 5.250e-01 
1.27917 	 2.992e-02 	 0.000e+00 	 5.216e-01 
1.28750 	 2.961e-02 	 0.000e+00 	 5.179e-01 
1.29583 	 2.862e-02 	 0.000e+00 	 5.143e-01 
1.30417 	 2.812e-02 	 0.000e+00 	 5.401e-01 
1.31250 	 2.728e-02 	 0.000e+00 	 5.587e-01 
1.32083 	 2.760e-02 	 0.000e+00 	 5.390e-01 
1.32917 	 2.650e-02 	 0.000e+00 	 5.375e-01 
1.33750 	 2.583e-02 	 0.000e+00 	 5.628e-01 
1.34583 	 2.612e-02 	 0.000e+00 	 5.605e-01 
1.35417 	 2.641e-02 	 0.000e+00 	 5.482e-01 
1.36250 	 2.588e-02 	 0.000e+00 	 5.797e-01 
1.37083 	 2.525e-02 	 0.000e+00 	 5.664e-01 
1.37917 	 2.493e-02 	 0.000e+00 	 5.569e-01 
1.38750 	 2.507e-02 	 0.000e+00 	 5.854e-01 
1.39583 	 2.454e-02 	 0.000e+00 	 5.879e-01 
1.40417 	 2.424e-02 	 0.000e+00 	 5.888e-01 
1.41250 	 2.365e-02 	 0.000e+00 	 5.964e-01 
1.42083 	 2.359e-02 	 0.000e+00 	 5.923e-01 
1.42917 	 2.386e-02 	 0.000e+00 	 5.983e-01 
1.43750 	 2.371e-02 	 0.000e+00 	 6.176e-01 
1.44583 	 2.332e-02 	 0.000e+00 	 6.140e-01 
1.45417 	 2.251e-02 	 0.000e+00 	 6.258e-01 
